GEOID,latitude,longitude,MetroName_x,2011_Current$_GDP,2012_Current$_GDP,2013_Current$_GDP,2014_Current$_GDP,2015_Current$_GDP,2016_Current$_GDP,2016_Current$_Rank,2011_Real$09_GDP,2012_Real$09_GDP,2013_Real$09_GDP,2014_Real$09_GDP,2015_Real$09_GDP,2016_Real$09_GDP,2012_RealGDP%_Change,2013_RealGDP%_Change,2014_RealGDP%_Change,2015_RealGDP%_Change,2016_RealGDP%_Change,2016Rank,Natural resources and mining,Construction,Durable-goods manufacturing,Nondurable-goods manufacturing,Trade,Transportation and utilities,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government,2010_Population_Actual,2010_Population_Estimate,2011_Population_Estimate,2012_Population_Estimate,2013_Population_Estimate,2014_Population_Estimate,2015_Population_Estimate,2016_Population_Estimate,ALand_SQMeters,AWater_SQMeters,ALand_SQMiles,AWater_SQMiles,latitude,longitude                                                                                                 
14540,37.046821,-86.397068,"Bowling Green, KY","5,575","5,957","6,288","6,465","6,774","7,192",245,"5,444","5,672","5,882","5,916","6,037","6,312",4.2,3.7,0.6,2,4.5,26,(D),(D),(D),0.27,0.45,-0.01,-0.03,1.15,(D),0.45,0.09,0.1,-0.19,158599,159155,160761,162207,164114,165942,168620,171122,4182605024,62139750,1614.913,23.992,37.046821,-86.397068
14740,47.639687,-122.649636,"Bremerton-Silverdale, WA","9,484","9,456","9,448","10,006","10,377","10,663",191,"9,174","9,003","8,842","9,155","9,281","9,346",-1.9,-1.8,3.5,1.4,0.7,232,-0.08,0.04,0.15,0.05,0.05,0.15,-0.29,-0.09,0.43,-0.25,0.04,0.13,0.35,251133,251735,254451,254729,253114,254272,260514,264811,1022895431,442827362,394.942,170.977,47.639687,-122.649636
14860,41.227413,-73.367061,"Bridgeport-Stamford-Norwalk, CT","85,401","90,441","92,545","95,748","99,421","102,401",37,"82,987","85,569","85,474","86,082","87,079","88,026",3.1,-0.1,0.7,1.2,1.1,204,0.06,0.07,-0.08,-1.23,0.17,0.21,0.47,0.95,0.52,0.03,-0.03,0.02,-0.07,916829,919750,928890,934931,940621,943686,944674,944177,1618664455,548955210,624.97,211.953,41.227413,-73.367061
15180,26.102923,-97.478958,"Brownsville-Harlingen, TX","8,816","9,149","9,366","9,654","10,011","10,462",196,"8,532","8,657","8,711","8,799","8,918","9,160",1.5,0.6,1,1.4,2.7,90,-0.01,0.04,-0.93,1.45,0.19,0.04,-0.18,0.45,0.61,0.61,-0.12,0.25,0.31,406220,407629,412937,415445,417260,419191,419893,422135,2307839892,998169935,891.062,385.396,26.102923,-97.478958
15260,31.301752,-81.588876,"Brunswick, GA","3,500","3,435","3,505","3,575","3,758","4,114",347,"3,412","3,272","3,261","3,240","3,309","3,547",-4.1,-0.3,-0.6,2.1,7.2,3,-0.1,0.17,-0.02,(D),(D),(D),-0.12,-0.38,0.36,5.46,-0.05,0.14,-0.05,112370,112540,113031,113407,113872,114750,116022,116784,3332039102,828371760,1286.508,319.836,31.301752,-81.588876
15380,43.044371,-78.777335,"Buffalo-Cheektowaga-Niagara Falls, NY","50,507","51,596","52,474","54,412","56,210","58,062",55,"49,102","48,901","48,711","49,379","49,692","50,321",-0.4,-0.4,1.4,0.6,1.3,188,-0.05,0.04,-0.09,0.04,0.02,-0.19,0.04,1.16,-0.01,0.27,0.1,-0.02,-0.03,1135509,1135709,1135817,1135633,1136417,1137186,1135479,1132804,4053461568,2075804933,1565.05,801.473,43.044371,-78.777335
15500,36.043954,-79.400573,"Burlington, NC","4,638","4,912","4,892","4,884","4,989","5,330",301,"4,562","4,722","4,616","4,507","4,474","4,681",3.5,-2.2,-2.4,-0.7,4.6,24,-0.02,0.31,0.75,-0.37,1.53,0.22,0.18,0.59,0.18,1.08,0.06,0.05,0.06,151131,151486,152847,153659,154622,156036,157857,159688,1098038862,27933266,423.955,10.785,36.043954,-79.400573
15540,44.689117,-73.041171,"Burlington-South Burlington, VT","11,744","12,204","12,337","12,695","13,137","13,648",167,"11,509","11,724","11,639","11,751","11,898","12,140",1.9,-0.7,1,1.3,2,151,0.02,0.05,-0.59,-0.18,(D),0.2,0.14,(D),0.69,0.35,0.11,(D),0.25,211261,211554,212890,214006,215223,216537,217273,217365,3243268574,657471312,1252.233,253.851,44.689117,-73.041171
15680,38.220289,-76.530384,"California-Lexington Park, MD","5,686","5,707","5,823","5,952","6,175","6,356",259,"5,478","5,424","5,442","5,444","5,527","5,584",-1,0.3,0,1.5,1,207,-0.03,-0.34,0,0.02,0,0.08,0.13,1.14,-0.67,0.16,0.09,0.07,0.37,105151,105752,107781,109071,109607,110483,111628,112587,925648069,1053753865,357.395,406.857,38.220289,-76.530384
15940,40.711072,-81.261474,"Canton-Massillon, OH","13,860","14,713","15,987","16,849","16,923","16,343",146,"13,419","13,888","14,904","15,408","15,461","14,856",3.5,7.3,3.4,0.3,-3.9,368,-1.32,0.53,-0.83,-1.4,0.21,-0.33,0.05,-1.04,0.23,0.01,-0.04,-0.01,0.03,404422,404295,403159,403394,403270,403751,402655,401281,2512120672,24803490,969.935,9.577,40.711072,-81.261474
15980,26.551634,-81.892509,"Cape Coral-Fort Myers, FL","20,723","21,261","21,860","23,613","25,437","27,301",94,"20,323","20,398","20,568","21,740","22,822","24,017",0.4,0.8,5.7,5,5.2,16,-0.17,0.95,0.07,0.17,0.52,0.49,-0.32,2.13,0.76,0.23,-0.1,0.25,0.26,618754,620590,630543,644096,660085,678048,700285,722336,2031443679,1108606586,784.345,428.035,26.551634,-81.892509
16020,37.325936,-89.762639,"Cape Girardeau, MO-IL","3,622","3,737","3,884","3,999","4,116","4,172",344,"3,517","3,557","3,628","3,666","3,689","3,687",1.1,2,1,0.6,-0.1,272,(D),(D),-0.25,-1.01,0.04,0.3,0.1,-0.25,(D),0.43,-0.11,-0.01,-0.07,96275,96443,97064,97278,97286,97589,97514,97443,3708762131,72939838,1431.961,28.162,37.325936,-89.762639
16060,37.757331,-89.193181,"Carbondale-Marion, IL","4,606","4,954","4,782","4,850","4,916","5,195",308,"4,438","4,677","4,460","4,435","4,398","4,571",5.4,-4.7,-0.6,-0.8,3.9,39,2.86,-0.34,1.21,-0.08,-0.02,0.3,0.1,-0.48,0.29,0.7,-0.16,0.15,-0.61,126575,126819,127031,125755,126980,126643,126809,126430,2600974322,110046661,1004.242,42.489,37.757331,-89.193181
